review_text,sentiment,review_length
so there is no way for me to plug it in here in the us unless i go by a converter.,0,82
"good case, excellent value.",1,27
great for the jawbone.,1,22
tied to charger for conversations lasting more than 45 minutes.major problems,0,77
the mic is great.,1,17
i have to jiggle the plug to get it to line up right to get decent volume.,0,74
"if you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,111
if you are razr owner...you must have this,1,42
"needless to say, i wasted my money.",0,35
what a waste of money and time.,0,31
and the sound quality is great.,1,31
he was very impressed when going from the original battery to the extended battery.,1,83
if the two were seperated by a mere 5+ ft i started to notice excessive static and garbled sound from the headset.,0,114
very good quality though,1,24
"the design is very odd, as the ear ""clip"" is not very comfortable at all.",0,73
highly recommend for any one who has a blue tooth phone.,1,56
i advise everyone do not be fooled,0,34
so far so good.,1,15
works great.,1,12
it clicks into place in a way that makes you wonder how long that mechanism would last.,0,87
"i went on motorola's website and followed all directions, but could not get it to pair again.",0,93
i bought this to use with my kindle fire and absolutely loved it,1,64
the commercials are the most misleading.,0,40
i have yet to run this new battery below two bars and that's three days without charging.,1,89
i bought it for my mother and she had a problem with the battery.,0,65
great pocket pc / phone combination.,1,36
i've owned this phone for 7 months now and can say that it's the best mobile phone i've had.,1,92
i didn't think that the instructions provided were helpful to me.,0,65
people couldnt hear me talk and i had to pull out the earphone and talk on the phone.,0,85
doesn't hold charge.,0,20
"this is a simple little phone to use, but the breakage is unacceptible.",0,71
this product is ideal for people like me whose ears are very sensitive.,1,71
it is unusable in a moving car at freeway speed.,0,48
i have two more years left in this contract and i hate this phone.,0,66
car charger as well as ac charger are included to make sure you never run out of juice.highy recommended,1,104
you need at least 3 mins to get to your phone book from the time you first turn on the phone.battery life is short.,0,115
it has kept up very well.,1,25
poor talk time performance.,0,27
the case is great and works fine with the 680.,1,46
worthless product.,0,18
"it has a great camera thats 2mp, and the pics are nice and clear with great picture quality.",1,92
i was not impressed by this product.,0,36
nice headset priced right.,1,26
i only hear garbage for audio.,0,30
excellent bluetooth headset.,1,28
it has all the features i want,1,30
who in their right mind is gonna buy this battery?.,0,51
after arguing with verizon regarding the dropped calls we returned the phones after two days.,0,93
this case seems well made.,1,26
disappointed with battery.,0,26
not loud enough and doesn't turn on like it should.,0,51
good protection and does not make phone too bulky.,1,50
a usable keyboard actually turns a pda into a real-world useful machine instead of just a neat gadget.,1,102
this phone is pretty sturdy and i've never had any large problems with it.,1,74
i love this thing,1,17
everything about it is fine and reasonable for the price i.e.,1,61
very disappointed.,0,18
i even dropped this phone into a stream and it was submerged for 15 seconds and it still works great,1,100
i have been very happy with the 510 and have had no complaints from any one regarding my sound quality on their end.,1,116
the buttons for on and off are bad.,0,35
essentially you can forget microsoft's tech support.,0,52
"i really recommend this faceplates since it looks very nice, elegant and cool.",1,78
these headphones were a great find - and i think they are perhaps the best purchase i've made in the last several years - seriously.,1,132
buy a different phone - but not this.,0,37
you have to hold the phone at a particular angle for the other party to hear you clearly.,0,89
the one big drawback of the mp3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,149
"a week later after i activated it, it suddenly died.",0,52
it feels more comfortable than most headsets because i wear glasses and that gets in the way sometimes.,1,103
great for ipods too.,1,20
this device is great in several situations:1.),1,46
mic doesn't work.,0,17
"even in my bmw 3 series which is fairly quiet, i have trouble hearing what the other person is saying.",0,102
great choice,1,12
nice docking station for home or work.,1,38
this is a beautiful phone.,1,26
love this product.,1,18
do not buy for d807...wrongly advertised for d807.,0,50
this is a great little item.,1,28
"i love this phone , it is very handy and has a lot of features .",1,64
i purchased this and within 2 days it was no longer working,0,59
i wear it everyday and it holds up very well.,1,45
not a good bargain.,0,19
"well packaged, arrived on time, and works as intended.",1,54
the battery runs down quickly.,0,30
"this item worked great, but it broke after 6 months of use.",0,59
the headsets are easy to use and everyone loves them.,1,53
this phone works great.,1,23
the construction of the headsets is poor.,0,41
product was excellent and works better than the verizon one and boy was it cheaper,1,82
the phone loads super,1,21
"for a product that costs as much as this one does, i expect it to work far better and with greater ease than this thing does.",0,125
made very sturdy.,1,17
worked great.,1,13
the ear buds only play music in one ear.,0,40
dont waste your money...,0,24
will order from them again,1,26
if you plan to use this in a car forget about it.,0,49
i found this product to be waaay too big.,0,41
best i've found so far .... i've tried 2 other bluetooths and this one has the best quality  as well as ease of using.,1,118
i'm very disappointed with my decision.,0,39
integrated seamlessly with the motorola razr phone.,1,51
"buyer beware, you could flush money right down the toilet.",0,58
definitely a bargain.,1,21
the price was very good and with the free shipping and all it was a good purchase.,1,82
i received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0,113
"pros:-good camera - very nice pictures , also has cool styles like black and white, and more.",1,93
that's a huge design flaw .,0,27
